11,1137,486
25,1129,486
37,1130,486
44,832,486
50,1127,486
53,832,486
55,1131,486
60,1132,486
102,1297,486
103,1297,486
104,1297,486
105,1297,486
106,1297,486
107,1298,486
108,1299,485
109,1300,485
110,1301,485
111,1301,485
112,1301,485
113,1302,485
114,1303,485
115,1304,485
116,1308,485
117,1312,485
118,1315,485
121,1336,485
128,1373,469
129,1376,469
130,1384,469
153,948,39
160,919,38
161,922,38
162,917,38
166,837,49
167,834,33
169,841,49
170,839,33
171,839,33
173,921,38
174,924,38
175,924,38
178,927,39
184,1013,38
185,1012,38
186,1010,38
187,926,38
188,926,38
189,926,39
190,1005,38
191,1004,38
192,1003,38
193,1002,38
194,1002,38
195,1001,38
196,1000,38
197,999,38
198,999,38
199,998,38
200,997,38
201,996,38
202,995,38
203,995,38
204,994,38
205,993,38
206,993,38
207,992,38
208,992,38
209,992,38
210,992,38
211,991,38
212,991,38
213,990,38
214,990,38
215,990,38
216,989,38
217,988,38
218,988,38
219,987,38
220,986,38
221,985,38
222,985,38
223,984,38
224,983,38
225,983,38
226,981,38
227,981,38
228,980,38
229,978,38
230,977,38
231,976,38
232,975,38
233,973,38
234,972,38
235,970,38
236,969,38
237,967,38
238,966,38
239,965,38
240,964,38
241,964,38
242,963,38
243,963,38
244,962,38
245,962,38
246,962,38
247,962,38
248,962,38
249,962,38
250,963,38
251,962,38
252,962,38
253,962,38
254,962,38
255,961,38
256,962,38
257,962,38
258,962,38
259,962,38
260,962,38
261,962,38
262,962,38
263,962,38
264,962,38
265,962,38
266,962,38
267,962,38
268,962,38
269,960,38
270,959,38
271,959,38
272,959,38
273,959,38
274,959,38
275,959,38
276,958,38
277,958,38
278,957,38
279,907,38
280,911,38
282,916,38
283,913,38
284,913,38
285,949,38
286,913,38
287,914,38
288,914,38
289,913,38
290,913,38
291,912,38
292,910,38
293,909,37
294,907,37
295,906,37
296,908,37
297,905,37
298,903,37
299,900,37
303,887,37
305,879,37
313,889,36
314,833,36
