epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.0035573148634284735,0.0032351419795304537,0.17214613593458128,0.0,0.18564957175418564,0.0
2,0.004732709843665361,0.001971251331269741,0.19690800324141236,0.0,0.26526716574882697,0.0
3,0.002684773178771138,0.005587487947195768,0.2755751005390798,0.0,0.1891580626731846,0.0
4,0.0031696755904704332,0.0027069717179983854,0.30585308125329064,0.0,0.32814168063082255,0.0
5,0.0020692211110144854,0.0034375684335827827,0.3298190973477454,0.0,0.39105613655241594,0.0
6,0.0018457575934007764,0.0031546487007290125,0.3319646342192156,0.0,0.38108113922661374,0.0
7,0.0025922677014023066,0.003214313881471753,0.340842258750057,0.0,0.22467502098467806,0.0
8,0.0018844966543838382,0.0021695001050829887,0.3574282207302283,0.0,0.33209087699082096,0.0
9,0.002347490517422557,0.0038018415216356516,0.38668594418190316,0.0,0.31578297505849756,0.0
10,0.0026904772967100143,0.0023211499210447073,0.4034160784822469,0.0,0.42963490346936717,0.0
11,0.0018998372834175825,0.004689536988735199,0.4487300425883669,0.0,0.35345641126104027,0.0
12,0.003946251701563597,0.007476360071450472,0.4894738993819617,0.0,0.4562237980337868,0.0
13,0.0021361736580729485,0.002583423163741827,0.5069672152446418,0.0,0.3645277140020002,0.0
14,0.0023073332849889994,0.002119386801496148,0.5413359747522926,0.0,0.389568070482424,0.0
15,0.0029179654084146023,0.005760859698057175,0.5692640052790128,0.0,0.3441817850537103,0.0
16,0.0036909484770148993,0.0023715842980891466,0.6173723429701681,0.0,0.46614869668913633,0.0
17,0.0021991452667862177,0.0032006953842937946,0.6339731973723834,0.0,0.4208331944513301,0.0
18,0.0007858529570512474,0.002234181622043252,0.6729043912118216,0.0,0.42093516885747695,0.0
19,0.0031330103520303965,0.006286158226430416,0.6868514389946321,0.0,0.42562844445025666,0.0
20,0.0010727556655183434,0.001961702946573496,0.7209914994145561,0.0,0.41252183539433585,0.0
21,0.001052139443345368,0.0039171380922198296,0.7337001259421869,0.0,0.41943914177829555,0.0
22,0.0010782801546156406,0.004939447157084942,0.7545013784606968,0.0,0.44194814699229357,0.0
23,0.0006604150403290987,0.0020136567763984203,0.7769420815025154,0.0,0.4823681181482484,0.0
24,0.0017602372681722045,0.0016058149049058557,0.7865180912630785,0.0,0.4556639967228299,0.0
25,0.00047836106386967003,0.0008768774569034576,0.8035736389193995,0.0,0.4577829540063277,0.0
